Real,Region index,Zone,Column,Facies,Bulk,Net,Pore,Hcpv,Stoiip,Assoc.Gas
1,WestLowland,Valysar,Oil,Floodplain,1998702.508,1998702.509,196780.2949,12316.56161,8588.955287,1209324.93
1,WestLowland,Valysar,Oil,Channel,1614472.234,1614472.233,437513.4048,373385.4285,260380.3599,36661555.48
1,WestLowland,Valysar,Oil,Crevasse,550255.791,550255.7916,124474.3787,83583.84093,58287.19841,8206837.697
1,WestLowland,Valysar,Oil,Coal,714391.4481,714391.4471,0,0,0,0
1,WestLowland,Valysar,Oil,Calcite,0,0,0,0,0,0
1,WestLowland,Valysar,Oil,Offshore,0,0,0,0,0,0
1,WestLowland,Valysar,Oil,Lowershoreface,0,0,0,0,0,0
1,WestLowland,Valysar,Oil,Uppershoreface,0,0,0,0,0,0
1,WestLowland,Valysar,Oil,Totals,4877821.981,4877821.981,758768.0784,469285.831,327256.5136,46077718.1
1,WestLowland,Therys,Oil,Floodplain,0,0,0,0,0,0
1,WestLowland,Therys,Oil,Channel,0,0,0,0,0,0
1,WestLowland,Therys,Oil,Crevasse,0,0,0,0,0,0
1,WestLowland,Therys,Oil,Coal,0,0,0,0,0,0
1,WestLowland,Therys,Oil,Calcite,290831.4339,290831.4316,0,0,0,0
1,WestLowland,Therys,Oil,Offshore,731359.329,731359.329,69230.1062,2972.329715,2072.754374,291843.822
1,WestLowland,Therys,Oil,Lowershoreface,568206.9043,568206.9049,148337.7981,69102.85481,48188.88159,6784994.696
1,WestLowland,Therys,Oil,Uppershoreface,558553.6705,558553.6689,173407.2149,143564.4608,100114.6891,14096148.48
1,WestLowland,Therys,Oil,Totals,2148951.338,2148951.334,390975.1193,215639.6453,150376.325,21172987
1,WestLowland,Volon,Oil,Floodplain,41477.92862,41477.92894,4601.685295,0,0,0
1,WestLowland,Volon,Oil,Channel,194482.1519,194482.1519,47336.22888,33683.0361,23488.868,3307232.676
1,WestLowland,Volon,Oil,Crevasse,0,0,0,0,0,0
1,WestLowland,Volon,Oil,Coal,0,0,0,0,0,0
1,WestLowland,Volon,Oil,Calcite,32835.50752,32835.50763,0,0,0,0
1,WestLowland,Volon,Oil,Offshore,0,0,0,0,0,0
1,WestLowland,Volon,Oil,Lowershoreface,0,0,0,0,0,0
1,WestLowland,Volon,Oil,Uppershoreface,0,0,0,0,0,0
1,WestLowland,Volon,Oil,Totals,268795.5881,268795.5884,51937.91417,33683.0361,23488.868,3307232.676
1,WestLowland,Totals,Oil,Floodplain,2040180.437,2040180.437,201381.9802,12316.56161,8588.955287,1209324.93
1,WestLowland,Totals,Oil,Channel,1808954.386,1808954.385,484849.6337,407068.4646,283869.2279,39968788.15
1,WestLowland,Totals,Oil,Crevasse,550255.791,550255.7916,124474.3787,83583.84093,58287.19841,8206837.697
1,WestLowland,Totals,Oil,Coal,714391.4481,714391.4471,0,0,0,0
1,WestLowland,Totals,Oil,Calcite,323666.9414,323666.9392,0,0,0,0
1,WestLowland,Totals,Oil,Offshore,731359.329,731359.329,69230.1062,2972.329715,2072.754374,291843.822
1,WestLowland,Totals,Oil,Lowershoreface,568206.9043,568206.9049,148337.7981,69102.85481,48188.88159,6784994.696
1,WestLowland,Totals,Oil,Uppershoreface,558553.6705,558553.6689,173407.2149,143564.4608,100114.6891,14096148.48
1,WestLowland,Totals,Oil,Totals,7295568.907,7295568.903,1201681.112,718608.5124,501121.7066,70557937.78
1,CentralSouth,Valysar,Oil,Floodplain,22387267.26,22387267.24,2200920.024,86626.47809,60408.98182,8505584.831
1,CentralSouth,Valysar,Oil,Channel,25882321.14,25882321.14,6875865.177,6218859.999,4336722.549,610610548.2
1,CentralSouth,Valysar,Oil,Crevasse,5387726.643,5387726.646,1140639.814,752069.3179,524455.603,73843350.48
1,CentralSouth,Valysar,Oil,Coal,4714546.785,4714546.787,0,0,0,0
1,CentralSouth,Valysar,Oil,Calcite,0,0,0,0,0,0
1,CentralSouth,Valysar,Oil,Offshore,0,0,0,0,0,0
1,CentralSouth,Valysar,Oil,Lowershoreface,0,0,0,0,0,0
1,CentralSouth,Valysar,Oil,Uppershoreface,0,0,0,0,0,0
1,CentralSouth,Valysar,Oil,Totals,58371861.83,58371861.81,10217425.01,7057555.795,4921587.134,692959483.5
1,CentralSouth,Therys,Oil,Floodplain,0,0,0,0,0,0
1,CentralSouth,Therys,Oil,Channel,0,0,0,0,0,0
1,CentralSouth,Therys,Oil,Crevasse,0,0,0,0,0,0
1,CentralSouth,Therys,Oil,Coal,0,0,0,0,0,0
1,CentralSouth,Therys,Oil,Calcite,1571009.85,1571009.848,0,0,0,0
1,CentralSouth,Therys,Oil,Offshore,1409075.834,1409075.831,124316.5643,4995.75012,3483.786761,490517.187
1,CentralSouth,Therys,Oil,Lowershoreface,2359625.506,2359625.51,592740.3274,244932.4086,170803.6361,24049152.49
1,CentralSouth,Therys,Oil,Uppershoreface,5865347.084,5865347.09,1870413.416,1618436.585,1128616.89,158909261.7
1,CentralSouth,Therys,Oil,Totals,11205058.27,11205058.28,2587470.308,1868364.744,1302904.313,183448931.4
1,CentralSouth,Volon,Oil,Floodplain,6170304.569,6170304.571,655877.7863,0,0,0
1,CentralSouth,Volon,Oil,Channel,13294583.89,13294583.89,3399732.096,2857712.182,1992825.831,280589883.3
1,CentralSouth,Volon,Oil,Crevasse,0,0,0,0,0,0
1,CentralSouth,Volon,Oil,Coal,0,0,0,0,0,0
1,CentralSouth,Volon,Oil,Calcite,6167922.134,6167922.138,0,0,0,0
1,CentralSouth,Volon,Oil,Offshore,0,0,0,0,0,0
1,CentralSouth,Volon,Oil,Lowershoreface,0,0,0,0,0,0
1,CentralSouth,Volon,Oil,Uppershoreface,0,0,0,0,0,0
1,CentralSouth,Volon,Oil,Totals,25632810.6,25632810.6,4055609.883,2857712.182,1992825.831,280589883.3
1,CentralSouth,Totals,Oil,Floodplain,28557571.82,28557571.81,2856797.81,86626.47809,60408.98182,8505584.831
1,CentralSouth,Totals,Oil,Channel,39176905.04,39176905.03,10275597.27,9076572.181,6329548.38,891200431.5
1,CentralSouth,Totals,Oil,Crevasse,5387726.643,5387726.646,1140639.814,752069.3179,524455.603,73843350.48
1,CentralSouth,Totals,Oil,Coal,4714546.785,4714546.787,0,0,0,0
1,CentralSouth,Totals,Oil,Calcite,7738931.984,7738931.987,0,0,0,0
1,CentralSouth,Totals,Oil,Offshore,1409075.834,1409075.831,124316.5643,4995.75012,3483.786761,490517.187
1,CentralSouth,Totals,Oil,Lowershoreface,2359625.506,2359625.51,592740.3274,244932.4086,170803.6361,24049152.49
1,CentralSouth,Totals,Oil,Uppershoreface,5865347.084,5865347.09,1870413.416,1618436.585,1128616.89,158909261.7
1,CentralSouth,Totals,Oil,Totals,95209730.7,95209730.69,16860505.2,11783632.72,8217317.279,1156998298
1,CentralNorth,Valysar,Oil,Floodplain,14967559.87,14967559.88,1552498.338,117932.9082,82240.5235,11579465.96
1,CentralNorth,Valysar,Oil,Channel,8828281.206,8828281.206,2331906.097,2109632.754,1471152.581,207138287.8
1,CentralNorth,Valysar,Oil,Crevasse,2195416.89,2195416.889,460908.1182,307315.3167,214306.3625,30174336.56
1,CentralNorth,Valysar,Oil,Coal,7333792.469,7333792.463,0,0,0,0
1,CentralNorth,Valysar,Oil,Calcite,0,0,0,0,0,0
1,CentralNorth,Valysar,Oil,Offshore,0,0,0,0,0,0
1,CentralNorth,Valysar,Oil,Lowershoreface,0,0,0,0,0,0
1,CentralNorth,Valysar,Oil,Uppershoreface,0,0,0,0,0,0
1,CentralNorth,Valysar,Oil,Totals,33325050.44,33325050.44,4345312.552,2534880.979,1767699.467,248892090.4
1,CentralNorth,Therys,Oil,Floodplain,0,0,0,0,0,0
1,CentralNorth,Therys,Oil,Channel,0,0,0,0,0,0
1,CentralNorth,Therys,Oil,Crevasse,0,0,0,0,0,0
1,CentralNorth,Therys,Oil,Coal,0,0,0,0,0,0
1,CentralNorth,Therys,Oil,Calcite,1666297.183,1666297.184,0,0,0,0
1,CentralNorth,Therys,Oil,Offshore,5438498.394,5438498.389,588722.4979,23585.82368,16447.57618,2315818.78
1,CentralNorth,Therys,Oil,Lowershoreface,4775596.692,4775596.679,1183772.154,576489.2979,402014.8612,56603693.71
1,CentralNorth,Therys,Oil,Uppershoreface,4823433.777,4823433.781,1582293.116,1392592.591,971124.5605,136734341.4
1,CentralNorth,Therys,Oil,Totals,16703826.05,16703826.03,3354787.767,1992667.712,1389586.998,195653853.9
1,CentralNorth,Volon,Oil,Floodplain,1954928.803,1954928.806,193916.2591,0,0,0
